UT,PY,DOI
WOS:000720703000001,2022.0,10.1007/s11192-021-04198-1
WOS:000686089100010,2021.0,10.1007/s11192-021-04118-3
WOS:000664849100001,2021.0,10.1007/s11192-021-04073-z
WOS:000625725800006,2021.0,10.1007/s11192-021-03906-1
WOS:000621730600011,2021.0,10.1007/s11192-021-03883-5
WOS:000620103100001,2021.0,10.1007/s11192-020-03829-3
WOS:000582810200003,2021.0,10.1007/s11192-020-03743-8
WOS:000582810200009,2021.0,10.1007/s11192-020-03725-w
WOS:000560296000003,2021.0,10.1007/s11192-020-03663-7
WOS:000559304800002,2020.0,10.1007/s11192-020-03670-8
WOS:000556168300008,2020.0,10.1007/s11192-020-03640-0
WOS:000544354400003,2020.0,10.1007/s11192-020-03563-w
WOS:000544354400006,2020.0,10.1007/s11192-020-03542-1
WOS:000530246600001,2020.0,10.1007/s11192-020-03443-3
WOS:000529892100028,2020.0,10.1007/s11192-019-03255-0
WOS:000523401300006,2020.0,10.1007/s11192-020-03453-1
WOS:000521842600017,2020.0,10.1007/s11192-020-03365-0
WOS:000510310800002,2020.0,10.1007/s11192-020-03360-5
WOS:000517111200020,2020.0,10.1007/s11192-019-03245-2
WOS:000485943600005,2019.0,10.1007/s11192-019-03186-w
WOS:000485943600019,2019.0,10.1007/s11192-019-03208-7
WOS:000469058000001,2019.0,10.1007/s11192-019-03077-0
WOS:000463637600017,2019.0,10.1007/s11192-019-03048-5
WOS:000458190700005,2019.0,10.1007/s11192-018-2990-5
WOS:000451754600044,2018.0,10.1007/s11192-018-2949-6
WOS:000451754600020,2018.0,10.1007/s11192-018-2947-8
WOS:000451754600035,2018.0,10.1007/s11192-018-2942-0
WOS:000451754600033,2018.0,10.1007/s11192-018-2938-9
WOS:000451754300020,2018.0,10.1007/s11192-018-2899-z
WOS:000451754300007,2018.0,10.1007/s11192-018-2891-7
WOS:000438126800010,2018.0,10.1007/s11192-018-2749-z
WOS:000429006100012,2018.0,10.1007/s11192-018-2695-9
WOS:000429006100018,2018.0,10.1007/s11192-018-2678-x
WOS:000426807700012,2018.0,10.1007/s11192-018-2661-6
WOS:000425306300007,2018.0,10.1007/s11192-017-2627-0
WOS:000425306300001,2018.0,10.1007/s11192-017-2611-8
WOS:000412920200004,2017.0,10.1007/s11192-017-2460-5
WOS:000412920200016,2017.0,10.1007/s11192-017-2482-z
WOS:000412920200017,2017.0,10.1007/s11192-017-2496-6
WOS:000406497200027,2017.0,10.1007/s11192-017-2448-1
WOS:000403466900035,2017.0,10.1007/s11192-017-2379-x
WOS:000393748300021,2017.0,10.1007/s11192-016-2178-9
WOS:000393748300008,2017.0,10.1007/s11192-016-2155-3
WOS:000389336100039,2016.0,10.1007/s11192-016-2150-8
WOS:000389336100022,2016.0,10.1007/s11192-016-2160-6
WOS:000386373000030,2016.0,10.1007/s11192-016-2102-3
WOS:000386373000003,2016.0,10.1007/s11192-016-2054-7
WOS:000382915800011,2016.0,10.1007/s11192-016-1894-5
WOS:000382914200014,2016.0,10.1007/s11192-016-2012-4
WOS:000379346000029,2016.0,10.1007/s11192-014-1403-7
WOS:000378777500009,2016.0,10.1007/s11192-016-1950-1
WOS:000373187000003,2016.0,10.1007/s11192-016-1878-5
WOS:000374705700001,2016.0,10.1007/s11192-015-1806-0
WOS:000368075800001,2016.0,10.1007/s11192-015-1788-y
WOS:000365130100033,2015.0,10.1007/s11192-015-1619-1
WOS:000361992800010,2015.0,10.1007/s11192-015-1664-9
WOS:000361992800028,2015.0,10.1007/s11192-015-1679-2
WOS:000361992800015,2015.0,10.1007/s11192-015-1659-6
WOS:000359143200014,2015.0,10.1007/s11192-015-1603-9
WOS:000359143200016,2015.0,10.1007/s11192-015-1628-0
WOS:000354489600017,2015.0,10.1007/s11192-015-1565-y
WOS:000354489600016,2015.0,10.1007/s11192-015-1583-9
WOS:000352995000016,2015.0,10.1007/s11192-015-1550-5
WOS:000352995000012,2015.0,10.1007/s11192-015-1547-0
WOS:000348324000038,2015.0,10.1007/s11192-014-1450-0
WOS:000347297400012,2015.0,10.1007/s11192-014-1441-1
