UT,PY,DOI
WOS:000686089100010,2021.0,10.1007/s11192-021-04118-3
WOS:000621730600011,2021.0,10.1007/s11192-021-03883-5
WOS:000582810200003,2021.0,10.1007/s11192-020-03743-8
WOS:000556168300008,2020.0,10.1007/s11192-020-03640-0
WOS:000544354400003,2020.0,10.1007/s11192-020-03563-w
WOS:000530246600001,2020.0,10.1007/s11192-020-03443-3
WOS:000529892100028,2020.0,10.1007/s11192-019-03255-0
WOS:000485943600019,2019.0,10.1007/s11192-019-03208-7
WOS:000451754600020,2018.0,10.1007/s11192-018-2947-8
WOS:000451754300007,2018.0,10.1007/s11192-018-2891-7
WOS:000426807700012,2018.0,10.1007/s11192-018-2661-6
WOS:000389336100039,2016.0,10.1007/s11192-016-2150-8
WOS:000389336100022,2016.0,10.1007/s11192-016-2160-6
WOS:000379346000029,2016.0,10.1007/s11192-014-1403-7
WOS:000374705700001,2016.0,10.1007/s11192-015-1806-0
WOS:000368075800001,2016.0,10.1007/s11192-015-1788-y
WOS:000354489600017,2015.0,10.1007/s11192-015-1565-y
WOS:000352995000012,2015.0,10.1007/s11192-015-1547-0
WOS:000347297400012,2015.0,10.1007/s11192-014-1441-1
WOS:000342228300007,2014.0,10.1007/s11192-014-1423-3
WOS:000331559800037,2014.0,10.1007/s11192-013-1156-8
WOS:000329319200049,2014.0,10.1007/s11192-012-0710-0
WOS:000316046000023,2013.0,10.1007/s11192-012-0903-6
WOS:000306547000015,2012.0,10.1007/s11192-012-0670-4
WOS:000299088900010,2012.0,10.1007/s11192-011-0531-6
WOS:000275417400015,2010.0,10.1007/s11192-009-0021-2
WOS:000270979000005,2009.0,10.1007/s11192-008-2164-y
WOS:000254486000008,2008.0,10.1007/s11192-007-1697-9
WOS:000231158100005,2005.0,10.1007/s11192-005-0254-7
WOS:000705740400007,2021.0,10.1007/s11192-021-04141-4
WOS:000658116700002,2021.0,10.1007/s11192-021-04034-6
WOS:000650816300002,2021.0,10.1007/s11192-021-03984-1
